Time,LogDose,CFU,LogCFU,Rate,LogRate
0.002777778,8.748188027,11.94029851,1.077015184,7.14E-08,-7.146128036
0.002777778,8.748188027,5.970149254,0.775985189,3.57E-08,-7.447158031
0.002777778,8.748188027,8.955223881,0.952076448,5.36E-08,-7.271066772
1.5,8.748188027,8955.223881,3.952076448,5.36E-05,-4.271066772
1.5,8.748188027,17910.44776,4.253106443,0.000107143,-3.970036777
1.5,8.748188027,11940.29851,4.077015184,7.14E-05,-4.146128036
3,8.748188027,160000,5.204119983,0.000957143,-3.019023237
3,8.748188027,82985.07463,4.918999989,0.000496429,-3.304143231
3,8.748188027,105074.6269,5.021497856,0.000628571,-3.201645364
4.5,8.748188027,48955.22388,4.689799041,0.000292857,-3.533344179
4.5,8.748188027,100895.5224,5.003871893,0.000603571,-3.219271327
4.5,8.748188027,105671.6418,5.023958455,0.000632143,-3.199184765
6,8.748188027,93731.34328,4.971884841,0.000560714,-3.251258379
6,8.748188027,79402.98507,4.89983683,0.000475,-3.32330639
6,8.748188027,162985.0746,5.212147836,0.000975,-3.010995384
7.5,8.748188027,10597.01493,4.025183546,6.34E-05,-4.197959674
7.5,8.748188027,52089.55224,4.716750624,0.000311607,-3.506392596
7.5,8.748188027,50000,4.698970004,0.000299107,-3.524173216
9,8.748188027,131940.2985,5.120377462,0.000789286,-3.102765758
9,8.748188027,97313.43284,4.988172793,0.000582143,-3.234970427
9,8.748188027,105671.6418,5.023958455,0.000632143,-3.199184765
10.5,8.748188027,40597.01493,4.608494101,0.000242857,-3.614649119
10.5,8.748188027,24477.61194,4.388769045,0.000146429,-3.834374175
10.5,8.748188027,59104.47761,4.771620383,0.000353571,-3.451522837
12,8.748188027,4029.850746,3.605288961,2.41E-05,-4.617854259
12,8.748188027,42089.55224,4.624174306,0.000251786,-3.598968914
12,8.748188027,63880.59701,4.805368966,0.000382143,-3.417774254
0.002777778,7.525044807,0,,0,
0.002777778,7.525044807,0,,0,
0.002777778,7.525044807,0,,0,
1.5,7.525044807,9402.985075,3.973265747,0.000940299,-3.026734253
1.5,7.525044807,15373.13433,4.186762422,0.001537313,-2.813237578
1.5,7.525044807,15970.14925,4.203308975,0.001597015,-2.796691025
3,7.525044807,19701.49254,4.294499129,0.001970149,-2.705500871
3,7.525044807,35373.13433,4.548673543,0.003537313,-2.451326457
3,7.525044807,25074.62687,4.399234479,0.002507463,-2.600765521
4.5,7.525044807,32835.8209,4.516347878,0.003283582,-2.483652122
4.5,7.525044807,40447.76119,4.606894488,0.004044776,-2.393105512
4.5,7.525044807,34029.85075,4.531860044,0.003402985,-2.468139956
6,7.525044807,31194.02985,4.494071483,0.003119403,-2.505928517
6,7.525044807,33283.58209,4.52223006,0.003328358,-2.47776994
6,7.525044807,38358.20896,4.583858321,0.003835821,-2.416141679
7.5,7.525044807,35373.13433,4.548673543,0.003537313,-2.451326457
7.5,7.525044807,38507.46269,4.585544903,0.003850746,-2.414455097
7.5,7.525044807,35671.64179,4.552323098,0.003567164,-2.447676902
9,7.525044807,28358.20896,4.452678798,0.002835821,-2.547321202
9,7.525044807,39402.98507,4.595529124,0.003940299,-2.404470876
9,7.525044807,24776.1194,4.394033285,0.002477612,-2.605966715
10.5,7.525044807,36567.16418,4.563091282,0.003656716,-2.436908718
10.5,7.525044807,25373.13433,4.404374119,0.002537313,-2.595625881
10.5,7.525044807,25373.13433,4.404374119,0.002537313,-2.595625881
12,7.525044807,20000,4.301029996,0.002,-2.698970004
12,7.525044807,27313.43284,4.436376287,0.002731343,-2.563623713
12,7.525044807,25522.38806,4.406921308,0.002552239,-2.593078692
0.002777778,6.434036354,0,,0,
0.002777778,6.434036354,0,,0,
0.002777778,6.434036354,0,,0,
1.5,6.434036354,776.119403,2.889928541,0.000957055,-3.019063006
1.5,6.434036354,910.4477612,2.959255032,0.001122699,-2.949736515
1.5,6.434036354,1119.402985,3.048986461,0.001380368,-2.860005086
3,6.434036354,1477.61194,3.169560392,0.001822086,-2.739431155
3,6.434036354,1611.940299,3.207348953,0.00198773,-2.701642594
3,6.434036354,2014.925373,3.304258966,0.002484663,-2.604732581
4.5,6.434036354,3477.61194,3.541281118,0.004288344,-2.367710429
4.5,6.434036354,2850.746269,3.454958565,0.003515337,-2.454032982
4.5,6.434036354,2940.298507,3.468391423,0.003625767,-2.440600124
6,6.434036354,2761.19403,3.441096926,0.003404908,-2.467894621
6,6.434036354,3059.701493,3.485679058,0.003773006,-2.423312489
6,6.434036354,3925.373134,3.593880946,0.004840491,-2.315110601
7.5,6.434036354,4179.104478,3.621083229,0.005153374,-2.287908318
7.5,6.434036354,5447.761194,3.736218062,0.006717791,-2.172773485
